malou;marie-louise 
mam';maman
manche;idée de maladresse ou de bêtise 
manif;manifestation
manip;manipulation
manipul;manipulation
manut;manutention
mao;maoïste
maqui;maquillage
marab;aumônier
march-logis;maréchal des logis
marité;marie-thérèse
maso;masochiste
mastroc;mastroquet
mat;matin
math géné;mathématiques générales
math spé;mathématiques spéciales
math sup;mathématiques supérieures
math élém;mathématiques élémentaires
maths;mathématiques
mattes;mathurin
max;maxiton 
maxi;maximum 
mayo;mayonnaise
maz;mazas
maza;mazarin
maître d'hô;maître d'hôtel
membrinf;membre
mercuro;mercurochrome
merka;appareil d'éclairage individuel 
messer;messerschmidt
mex';mexicain
micro;combiné de téléphone 
mike;micro
mili;l'exercice 
mili fana;passionné de choses militaires
militaro;militariste
minen;torpille aérienne allemande lancée par les mortiers de tranchée
mini;mauvaise note
misti;mistigri 
mite;mitard
mitraille;mitrailleuse 
mob;mobylette 
mobil;mobilisation
modul';modulation
moit';moitié
moit' moit';moitié moitié
monac;sou 
mono;type de moteur 
montparno;montparnasse 
morph;morphine
morphino;morphinomane
moto;motocyclette 
méca ra;mécanique rationnelle
mécano;mécanicien
méd-op;médecine opérative
médauxe;médecin auxiliaire
mégalo;mégalomane
mélo;mélodramatique 
méningo;malade atteint de méningite
métha;méthadone
métro;métropolitain
météo;météorologie
naco;national-communiste
nap;napoléon
napht;naphtaline
narc;narcotique
narra;narration
natu;elève de la section des sciences naturelles
neuro;neurologie
nib;nibergue
nigaud;nicodème
nitro;nitroglycérine 
noeud pap;noeud papillon
nom d'un ch !;juron 
norco;norcoral
nordaf;nord-africain
norm sup;ecole normale supérieure
nounou;nourrice
nullache;nul à chier 
nympho;nymphomane
nécro;nécropsie
nécrops;nécropsie
néo;néoplasme
objo;objectif photographique
observe;observation 
occase;occasion
off.;officier
oigne;oignon
op;opium
ophtalmo;ophtalmologiste
opé;opération 
opér-comi;opéra comique
ordi;ordinateur
ordino;ordinogramme
ordo;ordonnance
ortho;orthographe
ostéo;ostéologie
oto-rhino;oto-rhino-laryngologiste
paco;paquetage
page;pageot
palu;paludisme 
pana;panama 
panne;panade
pano;panoramique
para;parachutiste
parano;paranoïaque
parégo;élixir parégorique
pas gymn;pas gymnastique 
passe;passant
passe;passeport
passer à l'as;astic
patro;patronage
pelote;consigne
pen;pensionnaire
penco;pensionnaire
pens;pensionnaire
pensco;pensionnaire
pensio;pensionnaire
pento;pentotal
perco;percolateur
perf;perfectionnement
perfo;performance
perm;permission
pernifle;perniflard
perpète;perpétuité
perquise;perquisition 
perso;personnellement
petit co;camarade
petit colon;lieutenant-colonel
phallo;phallocrate
pharma;pharmacie
pharmaco;pharmacien
phil;philippe
philo;philosophie 
phils;philippines
photo;photographie
phtisio;phtisiologie
phy;physique
pive;pivois
piz;pizza
placo;un contreplaqué
plato (filer le -);courtiser
plexi;plexiglas
pneu;pneumatique 
pneumo;pneumothorax
poisse;poissard
pok;poker 
pola;polaroïd
polio;poliomyélite
ponia;michel poniatowski
popu;populaire 
possibilo;possibiliste 
pot d'éch;pot d'échappement
pot-au-f;prostituée
pote;poteau
pouffe;pouffiasse 
pre;premier
prelotte !;juron
prem;premier
presque-off;sous-officier
presu;pressurisation
prin;principal 
pro;professionnel
pro;profession
problo;probloque
proc;procureur
procu;procureur
prof;professeur
projo;projecteur
prolo;prolétaire
prolongue;prolongation de g.a.v.
promo;promotion 
prono;pronostic
proprio;propriétaire 
propé;propédeutique
protal;proviseur 
proto;prototype
provi;proviseur
provo;proviseur
proxo;proxénète 
prusco;prussien
préli;enquête préliminaire
prélime;enquête préliminaire
prélu;préludine 
prép;préparation
pseudo;pseudonyme
psy;psychologue 
psycho;psychologie 
pub;public house 
puniss;punition
pyro;magasin pyrotechnique 
pète;pétard 
péca;mauvais café
pédo;pédophile
pédé;pédéraste
pédéro;pédéraste
pélage;pélagie
péni;pénitentiaire
périf;périphérique 
quasi;presque
queude;que
quin;quinquina
quinqua;quinquagénaire
rab;en plus
rab de rab;rabiot
rachi;rachianesthésie
rad-soc;radical-socialiste
rade;radeau
radia;radiateur 
radic-soc;radical socialiste
radio;radiologie
raf;rafaël
rata;ratatouille
rate;prison
redam;rédemption
redingue;redingote
relègue;relégation
rembo;rendez-vous
renbrot;rembroque
rencart;rendez-vous 
rende;rendez-vous
rendem;vol au rendez-moi 
rendez;rendez-vous
rendève;rendez-vous
renque;rendez-vous
res co;restaurant communautaire
restau u;restaurant universitaire
resto;restaurant
revalo;revalorisation
rhino;rhinocéros
rhodo;rhodoïd
rhéto;rhétorique
rigue;rigueur
ringue;ringard 
rip;pourri 
rital;italien
ronéo;machine à ronéotyper
rosto;bec de gaz
roto;rotative 
rouille;rouillarde
rupe;rupin
réa;réanimation 
réac;réactionnaire
récal;récalcitrant
récit;récitation
récluse;réclusion
réco;récollection 
récré;récréation 
récup (de -);récupération 
récup (jour de -);jour de récupération
rédac;rédaction
réfect;réfectoire
réfrac;réfractaire
régul;régulier 
répète;répétition 
répét;répétiteur
réquise;réquisition
rétro;rétroviseur
réviso;révisionniste
saint-dome;tabac
saint-hippo;église saint-hippolyte
saint-lag;saint-lazare
saint-laze;saint-lazare
saint-naz';saint-nazaire
saint-saph';saint-saphorin
saint-trop;saint-tropez 
salle de po;salle de police
salva;un verre de bière 
samar;samaritaine
