short,full,common,added,cut,ending,is_vocal,pos,len_s,len_f,len_ratio
probas,probabilités,proba,s,bilites,s,True,,6,12,2.0
problo,probloque,problo,,que,o,True,,6,9,1.5
problo,problème,probl,o,eme,o,False,nom,6,8,1.33
proc,procureur,proc,,ureur,c,False,,4,9,2.25
proc,procureure,proc,,ureure,c,False,,4,10,2.5
proc,procédure,proc,,edure,c,False,,4,9,2.25
procu,procureur,procu,,reur,u,True,,5,9,1.8
prod,production,prod,,uction,d,False,nom,4,10,2.5
prod,produit,prod,,uit,d,False,,4,7,1.75
prof,professeur,prof,,esseur,f,False,nom,4,10,2.5
prog,programmation,prog,,rammation,g,False,nom,4,13,3.25
projo,projecteur,proj,o,ecteur,o,False,nom,5,10,2.0
prolo,prolétaire,prol,o,etaire,o,False,adj,5,10,2.0
prolong,prolongation,prolong,,ation,g,False,nom,7,12,1.71
promo,promotion,promo,,tion,o,True,nom,5,9,1.8
prono,pronostic,prono,,stic,o,True,adj,5,9,1.8
propé,propédeutique,prop,é,edeutique,é,False,adj,5,13,2.6
pross,processeur,pro,ss,cesseur,s,True,,5,10,2.0
proto,prototype,proto,,type,o,True,nom,5,9,1.8
prov,proverbe,prov,,erbe,v,False,nom,4,8,2.0
provi,proviseur,provi,,seur,i,True,,5,9,1.8
provise,provision,provis,e,ion,e,False,nom,7,9,1.28
provo,proviseur,prov,o,iseur,o,False,,5,9,1.8
provoc,provocation,provoc,,ation,c,False,nom,6,11,1.83
proxo,proxénète,prox,o,enete,o,False,nom,5,9,1.8
proxéno,proxénète,proxen,o,ete,o,False,nom,7,9,1.28
préado,préadolescent,preado,,lescent,o,True,nom,6,13,2.16
préampli,préamplificateur,preampli,,ficateur,i,True,nom,8,16,2.0
préampli,préamplification,preampli,,fication,i,True,nom,8,16,2.0
prébac,prébaccalauréat,prebac,,calaureat,c,False,nom,6,15,2.5
prélu,préludine,prelu,,dine,u,True,,5,9,1.8
préop,préopératoire,preop,,eratoire,p,False,,5,13,2.6
prép,préparation,prep,,aration,p,False,,4,11,2.75
prépa,préparatoire,prepa,,ratoire,a,True,nom,5,12,2.4
préso,préservatif,pres,o,ervatif,o,False,,5,11,2.2
pseudo,pseudonyme,pseudo,,nyme,o,True,nom,6,10,1.66
psilo,psilocybe,psilo,,cybe,o,True,,5,9,1.8
psy,psychanalyste,psy,,chanalyste,y,True,nom,3,13,4.33
psy,psychanalytique,psy,,chanalytique,y,True,adj,3,15,5.0
psy,psychiatre,psy,,chiatre,y,True,nom,3,10,3.33
psy,psychiatrique,psy,,chiatrique,y,True,adj,3,13,4.33
psy,psychologiatrique,psy,,chologiatrique,y,True,adj,3,17,5.66
psy,psychologue,psy,,chologue,y,True,nom,3,11,3.66
psycho,psychologie,psycho,,logie,o,True,nom,6,11,1.83
pub,publicité,pub,,licité,b,False,adj,3,9,3.0
publi,publication,publi,,cation,i,True,nom,5,11,2.2
pull,pull-over,pull,,over,l,False,nom,4,9,2.25
pute,putain,put,e,ain,e,False,nom,4,6,1.5
pyj,pyjama,pyj,,ama,j,False,nom,3,6,2.0
pète,pétard,pet,e,ard,e,False,,4,6,1.5
pédago,pédagogue,pedago,,gue,o,True,nom,6,9,1.5
pédo,pédophile,pedo,,file,o,True,nom,4,9,2.25
pédé,pédéraste,ped,é,eraste,é,False,nom,4,9,2.25
pédéro,pédéraste,peder,o,aste,o,False,,6,9,1.5
pélage,pélagie,pelag,e,ie,e,False,,6,7,1.16
péni,pénitentiaire,peni,,tentiaire,i,True,,4,13,3.25
péno,pénalty,pen,o,alty,o,False,nom,4,7,1.75
périf,périphérique,perif,,erique,f,False,adj,5,12,2.4
périph,périphérique,perif,,erique,h,False,adj,6,12,2.0
quadra,quadragénaire,quadra,,genaire,a,True,nom,6,13,2.16
quadri,quadriphonie,quadri,,fonie,i,True,nom,6,12,2.0
quadri,quadriphonique,quadri,,fonique,i,True,adj,6,14,2.33
quat',quatre,quat,e,re,',False,,5,6,1.2
quin,quinquina,quin,,quina,n,False,,4,9,2.25
quinqua,quinquagénaire,quinqua,,genaire,a,True,nom,7,14,2.0
rab,rabiot,rab,,iot,b,False,nom,3,6,2.0
rabe,rabiot,rab,e,iot,e,False,,4,6,1.5
rachi,rachianesthésie,rachi,,anesthesie,i,True,,5,15,3.0
racho,rachitique,rach,o,itique,o,False,adj,5,10,2.0
rade,radeau,rade,,au,e,True,,4,6,1.5
radia,radiateur,radia,,teur,a,True,,5,9,1.8
radic,radical,radic,,al,c,False,adj,5,7,1.4
radio,radio-,radi,o,o,o,True,,5,6,1.2
radio,radiogramme,radio,,gramme,o,True,nom,5,11,2.2
radio,radiographie,radio,,grafie,o,True,nom,5,12,2.4
radio,radiologie,radio,,logie,o,True,,5,10,2.0
radio,radiophonie,radio,,fonie,o,True,nom,5,11,2.2
radio,radiotéléphonie,radio,,telefonie,o,True,nom,5,15,3.0
raf,rafaël,raf,,ael,f,False,,3,6,2.0
rag,rag-time,rag,,time,g,False,nom,3,8,2.66
rag,ragtime,rag,,time,g,False,nom,3,7,2.33
rando,randonnée,rando,,nnée,o,True,nom,5,9,1.8
rapido,rapidement,rapid,o,ement,o,False,,6,10,1.66
rapidos,rapidement,rapid,os,ement,s,False,,7,10,1.42
rasta,rastaquouère,rasta,,quouere,a,True,nom,5,12,2.4
rata,ratatouille,rata,,touille,a,True,nom,4,11,2.75
ravito,ravitaillement,ravit,o,aillement,o,False,nom,6,14,2.33
reco,recommandation,reco,,mmandation,o,True,,4,14,3.5
reco,reconnaissance,reco,,nnaissance,o,True,,4,14,3.5
reco,reconnexion,reco,,nnexion,o,True,,4,11,2.75
redif,rediffusion,redif,,usion,f,False,,5,11,2.2
rediff,rediffusion,redif,,usion,f,False,,6,11,1.83
relaxe,relaxant,relax,e,ant,e,False,,6,8,1.33
rende,rendez-vous,rende,,zvous,e,True,,5,11,2.2
rendez,rendez-vous,rendez,,vous,z,False,,6,11,1.83
repro,reproduction,repro,,duction,o,True,nom,5,12,2.4
restau,restaurant,restau,,rant,u,True,nom,6,10,1.66
resto,restaurant,rest,o,aurant,o,False,nom,5,10,2.0
revalo,revalorisation,revalo,,risation,o,True,,6,14,2.33
rhabi,rhabillage,rhabi,,llage,i,True,nom,5,10,2.0
rhino,rhinoceros,rhino,,ceros,o,True,nom,5,10,2.0
rhino,rhinocéros,rhino,,ceros,o,True,nom,5,10,2.0
rhino,rhinopharyngite,rhino,,faryngite,o,True,,5,15,3.0
rhodia,rhodiaceta,rhodia,,ceta,a,True,nom,6,10,1.66
rhodo,rhododendron,rhodo,,dendron,o,True,,5,12,2.4
rhodo,rhodoïd,rhodo,,id,o,True,nom,5,7,1.4
rhumato,rhumatologie,rhumato,,logie,o,True,nom,7,12,1.71
rhumato,rhumatologiste,rhumato,,logiste,o,True,nom,7,14,2.0
rhumato,rhumatologue,rhumato,,logue,o,True,nom,7,12,1.71
rhéto,rhétoricien,rheto,,ricien,o,True,nom,5,11,2.2
rhéto,rhétorique,rheto,,rique,o,True,,5,10,2.0
rift,rift-valley,rift,,valley,t,False,nom,4,11,2.75
rigue,rigueur,rigue,,ur,e,True,,5,7,1.4
rit,ritardando,rit,,ardando,t,False,adv,3,10,3.33
rock,rock'n'roll,rock,,'n'roll,k,False,nom,4,11,2.75
romano,romanichel,roman,o,ichel,o,False,adj,6,10,1.66
rondo,rondement,rond,o,ement,o,False,adv,5,9,1.8
roto,rotative,rot,o,ative,o,False,nom,4,8,2.0
rouille,rouillade,rouill,e,ade,e,False,nom,7,9,1.28
rouille,rouillarde,rouill,e,arde,e,False,,7,10,1.42
rupe,rupin,rup,e,in,e,False,,4,5,1.25
réa,réanimation,rea,,nimation,a,True,nom,3,11,3.66
réac,réactionnaire,reac,,tionnaire,c,False,nom,4,13,3.25
réassort,réassortiment,reassort,,iment,t,False,nom,8,13,1.62
récal,récalcitrant,recal,,citrant,l,False,,5,12,2.4
récap,récapitulatif,recap,,itulatif,p,False,,5,13,2.6
récap,récapitulation,recap,,itulation,p,False,,5,14,2.8
récit,récitation,recit,,ation,t,False,,5,10,2.0
récluse,réclusion,reclus,e,ion,e,False,,7,9,1.28
réco,récollection,reco,,llection,o,True,,4,12,3.0
récré,récréation,recr,é,eation,é,False,nom,5,10,2.0
récup,récupération,recup,,eration,p,False,nom,5,12,2.4
rédac,rédaction,redac,,tion,c,False,nom,5,9,1.8
réduc,réduction,reduc,,tion,c,False,nom,5,9,1.8
réfect,réfectoire,refect,,oire,t,False,,6,10,1.66
réfrac,réfractaire,refrac,,taire,c,False,,6,11,1.83
réglo,réglementaire,regl,o,ementaire,o,False,,5,13,2.6
régul,régulier,regul,,ier,l,False,nom,5,8,1.6
réimper,réimperméabilisation,reimper,,meabilisation,r,False,nom,7,20,2.85
répète,répétition,repet,e,ition,e,False,nom,6,10,1.66
répét,répétiteur,repet,,iteur,t,False,,5,10,2.0
réquise,réquisition,requis,e,ition,e,False,,7,11,1.57
rétro,rétrograde,retro,,grade,o,True,nom,5,10,2.0
rétro,rétrospectif,retro,,spectif,o,True,,5,12,2.4
rétro,rétroviseur,retro,,viseur,o,True,nom,5,11,2.2
réveil,réveille-matin,reveil,,lematin,l,False,nom,6,14,2.33
réverb,réverbération,reverb,,eration,b,False,nom,6,13,2.16
réviso,révisionniste,revis,o,ionniste,o,False,nom,6,13,2.16
sado,sadique,sad,o,ique,o,False,adj,4,7,1.75
sado-maso,sado-masochiste,sadomaso,,chiste,o,True,nom,9,15,1.66
sadomaso,sadomasochiste,sadomaso,,chiste,o,True,nom,8,14,1.75
saint-ex,saint-exupéry,saintex,,upery,x,False,nom propre,8,13,1.62
saint-ger,saint-germain-des-prés,saintger,,maindespres,r,False,nom propre,9,22,2.44
saint-laze,saint-lazare,saintlaz,e,are,e,False,,10,12,1.2
saint-naz',saint-nazaire,saintnaz,e,aire,',False,,10,13,1.3
saint-saph',saint-saphorin,saintsaf,e,orin,',False,,11,14,1.27
saint-trop,saint-tropez,sainttrop,,ez,p,False,nom propre,10,12,1.2
salmis,salmigondis,salmi,s,gondis,s,True,nom,6,11,1.83
samar,samaritaine,samar,,itaine,r,False,,5,11,2.2
sana,sanatorium,sana,,torium,a,True,nom,4,10,2.5
santiag,santiago,santiag,,o,g,False,,7,8,1.14
sape,sapement,sape,,ment,e,True,nom,4,8,2.0
sarko,sarkozy,sarko,,zy,o,True,nom propre,5,7,1.4
sauce,saucisson,sauc,e,isson,e,False,,5,9,1.8
sauci,saucisson,sauci,,sson,i,True,,5,9,1.8
sax,saxophone,sax,,ofone,x,False,nom,3,9,3.0
saxo,saxophone,saxo,,fone,o,True,nom,4,9,2.25
scan,scanner,scan,,ner,n,False,,4,7,1.75
scato,scatologie,scato,,logie,o,True,nom,5,10,2.0
scato,scatologique,scato,,logique,o,True,adj,5,12,2.4
schizo,schizophrène,schizo,,frene,o,True,nom,6,12,2.0
schizo,schizophrénie,schizo,,frenie,o,True,nom,6,13,2.16
scoot,scooter,scoot,,er,t,False,,5,7,1.4
scénar,scénario,scenar,,io,r,False,adv,6,8,1.33
self,self-inductance,self,,inductance,f,False,nom,4,15,3.75
self,self-service,self,,service,f,False,nom,4,12,3.0
sensa,sensationnel,sensa,,tionnel,a,True,,5,12,2.4
sensas,sensationnel,sensa,s,tionnel,s,True,adj,6,12,2.0
sesqui,sesquiétage,sesqui,,etage,i,True,,6,11,1.83
ship,shipchandler,ship,,chandler,p,False,nom,4,12,3.0
siko,sikorsky,siko,,rsky,o,True,,4,8,2.0
situ,situationniste,situ,,ationniste,u,True,adj,4,14,3.5
skate,skate-board,skate,,board,e,True,nom,5,11,2.2
skate,skateboard,skate,,board,e,True,,5,10,2.0
skin,skinhead,skin,,head,n,False,nom,4,8,2.0
slack,slackline,slack,,line,k,False,,5,9,1.8
smok,smoking,smok,,ing,k,False,nom,4,7,1.75
snack,snack-bar,snack,,bar,k,False,,5,9,1.8
snow,snowboard,snow,,board,w,False,,4,9,2.25
soap,soap-opéra,soap,,opera,p,False,nom,4,10,2.5
soce,société,soc,e,ieté,e,False,,4,7,1.75
socialo,socialiste,social,o,iste,o,False,nom,7,10,1.42
socio,sociologie,socio,,logie,o,True,nom,5,10,2.0
sodo,sodomie,sodo,,mie,o,True,nom,4,7,1.75
soft,software,soft,,ware,t,False,,4,8,2.0
sono,sonorisation,sono,,risation,o,True,nom,4,12,3.0
sordo,sordide,sord,o,ide,o,False,,5,7,1.4
sous-ex,sous-exposer,sousex,,poser,x,False,nom,7,12,1.71
sous-in,sous-intendance,sousin,,tendance,n,False,,7,15,2.14
sous-off,sous-officier,sousof,,icier,f,False,nom,8,13,1.62
sous-off',sous-officier,sousof,e,icier,',False,,9,13,1.44
sous-prolo,sous-prolétaire,sousprol,o,etaire,o,False,nom,10,15,1.5
spi,spinnaker,spi,,nnaker,i,True,nom,3,9,3.0
spiegel,spiegeleisen,spiegel,,eisen,l,False,,7,12,1.71
spit,spitfire,spit,,fire,t,False,,4,8,2.0
spécialo,spécialiste,special,o,iste,o,False,,8,11,1.37
spéléo,spéléologie,speleo,,logie,o,True,nom,6,11,1.83
spéléo,spéléologique,speleo,,logique,o,True,adj,6,13,2.16
spéléo,spéléologue,speleo,,logue,o,True,nom,6,11,1.83
st,stère,st,,ere,t,False,nom,2,5,2.5
stabilo,stabilisateur,stabil,o,isateur,o,False,,7,13,1.85
stage,stage-coach,stage,,coach,e,True,nom,5,11,2.2
stal,stalinien,stal,,inien,l,False,adj,4,9,2.25
staphylo,staphylocoque,stafylo,,coque,o,True,nom,8,13,1.62
stat,statistic,stat,,istic,t,False,,4,9,2.25
stat,statistique,stat,,istique,t,False,nom,4,11,2.75
stats,statistiques,stat,s,istiques,s,False,nom,5,12,2.4
steph,stéphane,stef,,ane,h,False,nom propre,5,8,1.6
stigmo,stigmomètre,stigmo,,metre,o,True,,6,11,1.83
stomato,stomatologue,stomato,,logue,o,True,nom,7,12,1.71
stra,stration,stra,,tion,a,True,,4,8,2.0
stras,strasbourg,stras,,bourg,s,False,nom propre,5,10,2.0
strepto,streptomycine,strepto,,mycine,o,True,,7,13,1.85
string,stringendo,string,,endo,g,False,,6,10,1.66
strip,strip-tease,strip,,tease,p,False,nom,5,11,2.2
strip,striptease,strip,,tease,p,False,nom,5,10,2.0
stude,studebaker,stude,,baker,e,True,,5,10,2.0
stup,stupéfiant,stup,,efiant,p,False,adj,4,10,2.5
stups,stupéfiants,stup,s,efiants,s,False,adj,5,11,2.2
stylo,stylographe,stylo,,grafe,o,True,nom,5,11,2.2
sténo,sténographe,steno,,grafe,o,True,nom,5,11,2.2
sténo,sténographie,steno,,grafie,o,True,nom,5,12,2.4
sténodactylo,sténodactylographe,stenodactylo,,grafe,o,True,,12,18,1.5
stéréo,stéréophonie,stereo,,fonie,o,True,nom,6,12,2.0
stéréo,stéréophonique,stereo,,fonique,o,True,adj,6,14,2.33
stéréo,stéréotype,stereo,,type,o,True,nom,6,10,1.66
subito,subitement,subit,o,ement,o,False,,6,10,1.66
subro,subrogation,subro,,gation,o,True,,5,11,2.2
sup,supplémentaire,sup,,plementaire,p,False,adj,3,14,4.66
sup,supérieur,sup,,erieur,p,False,adj,3,9,3.0
super,supercarburant,super,,carburant,r,False,nom,5,14,2.8
suppo,suppositoire,suppo,,sitoire,o,True,nom,5,12,2.4
surex,surexposer,surex,,poser,x,False,verbe,5,10,2.0
surex,surexposé,surex,,posé,x,False,adj,5,9,1.8
surf,surf-casting,surf,,casting,f,False,nom,4,12,3.0
surnu,surnuméraire,surnu,,meraire,u,True,,5,12,2.4
survêt,survêtement,survet,,ement,t,False,nom,6,11,1.83
sweat,sweat-shirt,sweat,,shirt,t,False,nom,5,11,2.2
sweat,sweatshirt,sweat,,shirt,t,False,nom,5,10,2.0
sympa,sympathique,sympa,,thique,a,True,adj,5,11,2.2
synchro,synchronisation,synchro,,nisation,o,True,nom,7,15,2.14
synchro,synchroniseur,synchro,,niseur,o,True,nom,7,13,1.85
synchro,synchronisé,synchro,,nisé,o,True,,7,11,1.57
syntagme,syntagmes,syntagme,,s,e,True,nom,8,9,1.12
synthé,synthétique,synth,é,etique,é,False,adj,6,11,1.83
synthé,synthétiseur,synth,é,etiseur,é,False,nom,6,12,2.0
syphilo,syphilis,syfil,o,is,o,False,nom,7,8,1.14
séba,sébastien,seba,,stien,a,True,nom propre,4,9,2.25
sébasto,sébastopol,sebasto,,pol,o,True,,7,10,1.42
sécu,sécurité,secu,,rité,u,True,adj,4,8,2.0
ségo,ségolène,sego,,lene,o,True,nom propre,4,8,2.0
séropo,séropositif,seropo,,sitif,o,True,adj,6,11,1.83
tala,talapoin,tala,,poin,a,True,nom,4,8,2.0
talkie,talkie-walkie,talkie,,walkie,e,True,,6,13,2.16
tana,tananarive,tana,,narive,a,True,,4,10,2.5
tarmac,tarmacadam,tarmac,,adam,c,False,nom,6,10,1.66
tax,taxi,tax,,i,x,False,,3,4,1.33
taxi,taximètre,taxi,,metre,i,True,nom,4,9,2.25
taxo,taximètre,tax,o,imetre,o,False,,4,9,2.25
tcherno,tchernobyl,tcherno,,byl,o,True,,7,10,1.42
tech,technologie,tech,,nologie,h,False,nom,4,11,2.75
techno,technique,techn,o,ique,o,False,,6,9,1.5
techno,technologique,techno,,logique,o,True,adj,6,13,2.16
teddy,teddy-bear,teddy,,bear,y,True,nom,5,10,2.0
tekos,teknival,tek,os,nival,s,False,,5,8,1.6
tempo,temporisation,tempo,,risation,o,True,nom,5,13,2.6
tempé,température,temp,é,erature,é,False,,5,11,2.2
ten,tenuto,ten,,uto,n,False,adv,3,6,2.0
terri,territorial,terri,,torial,i,True,,5,11,2.2
terro,terroriste,terro,,riste,o,True,,5,10,2.0
tetra,tetragonopterus,tetra,,gonopterus,a,True,nom,5,15,3.0
tex,textile,tex,,tile,x,False,nom,3,7,2.33
texto,textuellement,text,o,uellement,o,False,,5,13,2.6
th,thermie,th,,ermie,h,False,nom,2,7,3.5
thalasso,thalassothérapie,thalasso,,therapie,o,True,nom,8,16,2.0
thanato,thanatopraxiste,thanato,,praxiste,o,True,,7,15,2.14
thermo,thermomètre,thermo,,metre,o,True,,6,11,1.83
thoraco,thoracoplastie,thoraco,,plastie,o,True,nom,7,14,2.0
théo,théodore,theo,,dore,o,True,nom propre,4,8,2.0
théo,théophile,theo,,file,o,True,nom,4,9,2.25
tom,tom-tom,tom,,tom,m,False,,3,7,2.33
tom,tomato,tom,,ato,m,False,,3,6,2.0
tomo,tomographie,tomo,,grafie,o,True,nom,4,11,2.75
top,top-model,top,,model,p,False,adj,3,9,3.0
topi,topinambour,topi,,nambour,i,True,,4,11,2.75
topo,topographie,topo,,grafie,o,True,nom,4,11,2.75
topo,topol,topo,,l,o,True,,4,5,1.25
tox,toxicomane,tox,,icomane,x,False,,3,10,3.33
toxico,toxicomane,toxico,,mane,o,True,nom,6,10,1.66
tract,tractate,tract,,ate,t,False,nom,5,8,1.6
tradi,traditionnel,tradi,,tionnel,i,True,,5,12,2.4
traduc,traduction,traduc,,tion,c,False,,6,10,1.66
tram,tramway,tram,,way,m,False,nom,4,7,1.75
trans,transsexuel,trans,,sexuel,s,False,adj,5,11,2.2
transat,transatlantique,transat,,lantique,t,False,adj,7,15,2.14
transfo,transformateur,transfo,,rmateur,o,True,nom,7,14,2.0
traumato,traumatologie,traumato,,logie,o,True,nom,8,13,1.62
trav,travelo,trav,,elo,v,False,nom,4,7,1.75
trav,travesti,trav,,esti,v,False,,4,8,2.0
trench,trench-coat,trench,,coat,h,False,nom,6,11,1.83
trichlo,trichloréthylène,trichlo,,rethylene,o,True,nom,7,16,2.28
trichlo,trichlorétylène,trichlo,,retylene,o,True,nom,7,15,2.14
trigo,trigonométrie,trigo,,nometrie,o,True,nom,5,13,2.6
troca,trocadero,troca,,dero,a,True,nom propre,5,9,1.8
troque,troquet,troque,,t,e,True,,6,7,1.16
turbo,turbocompresseur,turbo,,compresseur,o,True,nom,5,16,3.2
typho,typhique,tyf,o,ique,o,False,,5,8,1.6
typo,typographe,typo,,grafe,o,True,nom,4,10,2.5
typo,typographie,typo,,grafie,o,True,nom,4,11,2.75
télé,téléphoniste,tel,é,efoniste,é,False,,4,12,3.0
télé,télévision,tel,é,evision,é,False,nom,4,10,2.5
télécoms,télécommunications,telecom,s,munications,s,False,nom,8,18,2.25
téra,téraoctet,tera,,octet,a,True,nom,4,9,2.25
tétra,tétragonoptérinés,tetra,,gonopterines,a,True,nom,5,17,3.4
uku,ukulélé,uku,,lelé,u,True,,3,7,2.33
uni,university,uni,,versity,i,True,,3,10,3.33
uni,université,uni,,versité,i,True,adj,3,10,3.33
unif,uniforme,unif,,orme,f,False,,4,8,2.0
uro,urolagnie,uro,,lagnie,o,True,nom,3,9,3.0
uro,urophile,uro,,file,o,True,,3,8,2.66
vago,vaguemestre,vag,o,uemestre,o,False,,4,11,2.75
vague,vaguenaude,vague,,naude,e,True,nom,5,10,2.0
valo,valorisation,valo,,risation,o,True,,4,12,3.0
valpo,valpolicella,valpo,,licella,o,True,nom,5,12,2.4
vamp,vampire,vamp,,ire,p,False,nom,4,7,1.75
vanity,vanity-case,vanity,,case,y,True,nom,6,11,1.83
vape,vapeur,vape,,ur,e,True,nom,4,6,1.5
vapo,vaporisateur,vapo,,risateur,o,True,nom,4,12,3.0
ventilo,ventilateur,ventil,o,ateur,o,False,nom,7,11,1.57
vers,version,vers,,ion,s,False,,4,7,1.75
vibro,vibromasseur,vibro,,masseur,o,True,nom,5,12,2.4
vidéo,vidéofréquence,video,,frequence,o,True,nom,5,14,2.8
vidéo,vidéogramme,video,,gramme,o,True,,5,11,2.2
vidéo,vidéophonie,video,,fonie,o,True,,5,11,2.2
viet,vietnamien,viet,,namien,t,False,adj,4,10,2.5
vince,vincent,vince,,nt,e,True,nom propre,5,7,1.4
visu,visualisation,visu,,alisation,u,True,nom,4,13,3.25
visu,visuel,visu,,el,u,True,adj,4,6,1.5
voite,voiture,voit,e,ure,e,False,,5,7,1.4
volley,volley-ball,volley,,ball,y,True,nom,6,11,1.83
végé,végétal,veg,é,etal,é,False,,4,7,1.75
végé,végétarien,veg,é,etarien,é,False,,4,10,2.5
vélo,véloce,velo,,ce,o,True,,4,6,1.5
vélo,vélocipède,velo,,cipede,o,True,nom,4,10,2.5
véloce,vélocipède,veloc,e,ipede,e,False,nom,6,10,1.66
vérif,vérification,verif,,ication,f,False,,5,12,2.4
vérif,vérifieur,verif,,ieur,f,False,nom,5,9,1.8
véto,vétérinaire,vet,o,erinaire,o,False,adj,4,11,2.75
vété,vétérinaire,vet,é,erinaire,é,False,,4,11,2.75
walt,walter,walt,,er,t,False,,4,6,1.5
water,water-closet,water,,closet,r,False,nom,5,12,2.4
waters,water-closet,water,s,closet,s,False,nom,6,12,2.0
webdocu,webdocumentaire,webdocu,,mentaire,u,True,,7,15,2.14
whisky,whiskyboe,whisky,,boe,y,True,nom,6,9,1.5
xav,xavier,xav,,ier,v,False,,3,6,2.0
xylo,xylocaïne,xylo,,caine,o,True,,4,9,2.25
xylo,xylophone,xylo,,fone,o,True,nom,4,9,2.25
xéro,xérographie,xero,,grafie,o,True,nom,4,11,2.75
yougo,yougoslave,yougo,,slave,o,True,,5,10,2.0
youv,youvoi,youv,,oi,v,False,,4,6,1.5
zanzi,zanzibar,zanzi,,bar,i,True,nom,5,8,1.6
zef,zéphyr,zef,,yr,f,False,,3,6,2.0
zepp,zeppelin,zepp,,elin,p,False,,4,8,2.0
zoo,zoologie,zoo,,logie,o,True,,3,8,2.66
zoo,zoologique,zoo,,logique,o,True,adj,3,10,3.33
écho,échographie,echo,,grafie,o,True,nom,4,11,2.75
éco,econome,eco,,nome,o,True,,3,7,2.33
éco,économie,eco,,nomie,o,True,nom,3,8,2.66
écolo,écologique,ecolo,,gique,o,True,adj,5,10,2.0
écolo,écologiste,ecolo,,giste,o,True,nom,5,10,2.0
édito,editorial,edito,,rial,o,True,,5,9,1.8
édito,éditorial,edito,,rial,o,True,nom,5,9,1.8
éjac,éjaculation,ejac,,ulation,c,False,nom,4,11,2.75
électro,électrocardiographe,electro,,cardiografe,o,True,nom,7,19,2.71
électro,électronicien,electro,,nicien,o,True,,7,13,1.85
électro,électronique,electro,,nique,o,True,adj,7,12,1.71
électro,électrophone,electro,,fone,o,True,nom,7,12,1.71
élem,élémentaire,elem,,entaire,m,False,adj,4,11,2.75
émoss,émotion,emo,ss,tion,s,True,,5,7,1.4
épilo,epileptique,epil,o,eptique,o,False,,5,11,2.2
épilo,épileptique,epil,o,eptique,o,False,adj,5,11,2.2
époil,époilant,epoil,,ant,l,False,,5,8,1.6
état-maj,etat-major,etatmaj,,or,j,False,,8,10,1.25
