short,full,common,added,cut,ending,is_vocal,pos,len_s,len_f,len_ratio
bistro,bistrouille,bistro,,uille,o,True,,6,11,1.83
blair,blaireau,blair,,eau,r,False,nom,5,8,1.6
blenno,blennoragie,blenno,,ragie,o,True,,6,11,1.83
blenno,blennorragie,blenno,,rragie,o,True,nom,6,12,2.0
bob,bobinette,bob,,inette,b,False,nom,3,9,3.0
bob,bobsleigh,bob,,sleigh,b,False,nom,3,9,3.0
bolcho,bolchevik,bolch,o,evik,o,False,nom,6,9,1.5
bombe,bombance,bomb,e,ance,e,False,nom,5,8,1.6
book,bookmaker,book,,maker,k,False,nom,4,9,2.25
bota,botanique,bota,,nique,a,True,,4,9,2.25
boude,boudin,boud,e,in,e,False,nom,5,6,1.2
bouille,bouillotte,bouill,e,otte,e,False,,7,10,1.42
bourge,bourgeois,bourge,,ois,e,True,nom,6,9,1.5
bourre,bourrique,bourr,e,ique,e,False,,6,9,1.5
boustiffe,boustifaille,boustif,e,aille,e,False,nom,9,12,1.33
braco,braconnier,braco,,nnier,o,True,nom,5,10,2.0
branco,brancardier,branc,o,ardier,o,False,,6,11,1.83
bricolo,bricoleur,bricol,o,eur,o,False,nom,7,9,1.28
broc,brocanteur,broc,,anteur,c,False,,4,10,2.5
broche,brochure,broch,e,ure,e,False,,6,8,1.33
broco,brocanteur,broc,o,anteur,o,False,nom,5,10,2.0
broncho,bronchite,bronch,o,ite,o,False,,7,9,1.28
bugle,bugle-horn,bugle,,horn,e,True,nom,5,10,2.0
bul,bulgare,bul,,gare,l,False,,3,7,2.33
bulg,bulgare,bulg,,are,g,False,,4,7,1.75
bull,bulldozer,bull,,dozer,l,False,nom,4,9,2.25
bull,bullshit,bull,,shit,l,False,,4,8,2.0
béa,béatrice,bea,,trice,a,True,,3,8,2.66
bélino,bélinogramme,belino,,gramme,o,True,nom,6,12,2.0
bélino,bélinographe,belino,,grafe,o,True,nom,6,12,2.0
bénef,bénéfice,benef,,ice,f,False,nom,5,8,1.6
béru,bérurier,beru,,rier,u,True,,4,8,2.0
cab,cabot,cab,,ot,b,False,nom,3,5,1.66
cab,cabriolet,cab,,riolet,b,False,nom,3,9,3.0
cabot,cabotin,cabot,,in,t,False,nom,5,7,1.4
cabrio,cabriolet,cabrio,,let,o,True,,6,9,1.5
cad',cadillac,cad,e,illac,',False,,4,8,2.0
cafèt',cafétéria,cafete,,ria,',True,nom,6,9,1.5
cafète,cafétéria,cafete,,ria,e,True,,6,9,1.5
cafét',cafétéria,cafete,,ria,',True,nom,6,9,1.5
caille,caillera,caille,,ra,e,True,,6,8,1.33
cali,caligraphie,cali,,grafie,i,True,,4,11,2.75
calmos,calmement,calm,os,ement,s,False,adv,6,9,1.5
calo,calorifère,calo,,rifere,o,True,,4,10,2.5
calva,calvados,calva,,dos,a,True,nom,5,8,1.6
camaro,camarade,camar,o,ade,o,False,,6,8,1.33
came,camelote,came,,lote,e,True,nom,4,8,2.0
