kilo,kilomètre
kilo,kilooctet
kiné,kinésithérapeute
kiné,kinésithérapie
kinési,kinésithérapeute
kinési,kinésithérapie
kymo,kymographe
kéro,kérozène
labo,laboratoire
lacrymo,lacrymogène
lanche,lanchara
lans,lansquenet
lansqu,lansquenet
lavab,lavabo
libé,libération
lieute,lieutenant
lili,liliane
lino,linoléum
lino,linotype
lipo,liposuccion
litho,lithographie
loc,location
loco,locomotive
log,logarithme
logo,logotype
lope,lopaillekem
lorce,lorcefé
loub,loubard
louf,loufiat
ludo,ludovic
lunch,luncheon
ma,maman
mac,mackintosh
maca,macaroni
macchab,macchabée
machino,machiniste
macro,macro-instruction
macro,macroéconomie
macrophoto,macrophotographie
macule,maculature
magase,magasin
magnéto,magnétophone
magnéto,magnétoscope
magnéto,magnétoélectrique
majo,majoritaire
malag,malaguti
mam',maman
manif,manifestation
manip,manipulation
manipe,manipulation
manipul,manipulation
manu,manuel
manut,manutention
mao,maoïste
maqui,maquillage
marlin,marlinspike
maso,masochiste
mat,matin
mat',matin
mater,maternelle
math,mathématique
maths,mathematics
maths,mathématique
maths,mathématiques
matos,matériel
matt,matthew
matt,matthieu
matu,maturité
max,maximum
max,maxiton
maxi,maximal
maxi,maximum
mayo,mayonnaise
maz,mazas
maza,mazarin
mcdo,mcdonald's
mercuro,mercurochrome
messer,messerschmidt
mex',mexicain
mic,micro
mic,microphone
micro,micro-informatique
micro,micro-ordinateur
micro,microphone
mili,militaire
militaro,militariste
min,minute
mini,mini-jupe
mini,mini-ordinateur
mino,mineur
miso,misogyne
miss,mistress
misti,mistigri
mite,mitard
mitraille,mitrailleuse
mob,mobylette
mobil,mobilisation
mod,modernist
modif,modification
modul',modulation
moit',moitié
mole,molécule
mollo,mollement
momi,mominette
mono,moniteur
mono,monocylindre
mono,mononucléose
mono,monophonie
mono,monophonique
mons,monsieur
montparno,montparnasse
morfal,morfaloux
morph,morphine
morphino,morphinomane
motiv',motivation
moto,motocyclette
mouss,moustafa
mouss,moustapha
mozza,mozzarelle
muscu,musculation
musicos,musicien
mytho,mythomane
mécano,mécanicien
méga,méga-octet
méga,mégaoctet
mégalo,mégalomane
mélo,mélodramatique
mélo,mélodrame
mémo,mémorandum
méphisto,méphistophélès
méta,métaldéhyde
métallo,métallurgiste
métha,méthadone
métro,métropole
métro,métropolitain
météo,météorologie
météo,météorologique
mêlé-cass,mêlé-cassis
mêlé-casse,mêlé-cassis
mêlécasse,mêlé-cassis
nap,napoléon
napht,naphtaline
narc,narcotique
narco,narcotrafiquant
narra,narration
natha,nathalie
nave,navet
nes,nescafé
neuro,neurologie
news,newsmagazine
nib,nibergue
nico,nicolas
nitro,nitroglycérine
norco,norcoral
nordaf,nord-africain
nouvelle,nouvelle-calédonie
nympho,nymphomane
nécro,nécrologie
nécro,nécropsie
nécrops,nécropsie
néo,néoplasme
nœud-pap,nœud-papillon
observe,observation
occase,occasion
off,officier
oigne,oignon
oli,olivier
op,opium
op,opus
ophtalmo,ophtalmologiste
ophtalmo,ophtalmologue
opé,opération
ordi,ordinateur
ordino,ordinogramme
ordo,ordonnance
orthicon,orthiconoscope
ortho,orthographe
