short;full;pos
provise;provision;nom
provoc;provocation;nom
proxéno;proxénète;nom
proxo;proxénète;nom
préado;préadolescent;nom
préampli;préamplificateur;nom
préampli;préamplification;nom
prébac;prébaccalauréat;nom
prépa;préparatoire;nom
pseudo;pseudonyme;nom
psy;psychanalyste;nom
psy;psychanalytique;adj
psy;psychiatre;nom
psy;psychiatrique;adj
psy;psychologiatrique;adj
psycho;psychologie;nom
psy;psychologue;nom
publi;publication;nom
pub;publicité;adj
pull;pull-over;nom
pute;putain;nom
pyj;pyjama;nom
pédago;pédagogue;nom
pédo;pédophile;nom
pédé;pédéraste;nom
péno;pénalty;nom
périf;périphérique;adj
périph;périphérique;adj
quadra;quadragénaire;nom
quadri;quadriphonie;nom
quadri;quadriphonique;adj
quinqua;quinquagénaire;nom
rab;rabiot;nom
racho;rachitique;adj
radic;radical;adj
radio;radiogramme;nom
radio;radiographie;nom
radio;radiophonie;nom
radio;radiotéléphonie;nom
rag;rag-time;nom
rag;ragtime;nom
rando;randonnée;nom
rasta;rastaquouère;nom
rata;ratatouille;nom
ravito;ravitaillement;nom
repro;reproduction;nom
resto;restaurant;nom
restau;restaurant;nom
rhabi;rhabillage;nom
rhino;rhinoceros;nom
rhino;rhinocéros;nom
rhodia;rhodiaceta;nom
rhodo;rhodoïd;nom
rhumato;rhumatologie;nom
rhumato;rhumatologiste;nom
rhumato;rhumatologue;nom
rhéto;rhétoricien;nom
rift;rift-valley;nom
rit;ritardando;adv
rock;rock'n'roll;nom
romano;romanichel;adj
rondo;rondement;adv
roto;rotative;nom
rouille;rouillade;nom
réac;réactionnaire;nom
réa;réanimation;nom
réassort;réassortiment;nom
récré;récréation;nom
récup;récupération;nom
rédac;rédaction;nom
réduc;réduction;nom
régul;régulier;nom
réimper;réimperméabilisation;nom
répète;répétition;nom
rétro;rétrograde;nom
rétro;rétroviseur;nom
réveil;réveille-matin;nom
réverb;réverbération;nom
réviso;révisionniste;nom
sado;sadique;adj
sado-maso;sado-masochiste;nom
sadomaso;sadomasochiste;nom
saint-ex;saint-exupéry;nom propre
saint-ger;saint-germain-des-prés;nom propre
saint-trop;saint-tropez;nom propre
salmis;salmigondis;nom
sana;sanatorium;nom
sape;sapement;nom
sarko;sarkozy;nom propre
sax;saxophone;nom
saxo;saxophone;nom
scato;scatologie;nom
scato;scatologique;adj
schizo;schizophrène;nom
schizo;schizophrénie;nom
scénar;scénario;adv
self;self-inductance;nom
self;self-service;nom
sensas;sensationnel;adj
ship;shipchandler;nom
situ;situationniste;adj
skate;skate-board;nom
skin;skinhead;nom
smok;smoking;nom
soap;soap-opéra;nom
socialo;socialiste;nom
socio;sociologie;nom
sodo;sodomie;nom
sono;sonorisation;nom
sous-ex;sous-exposer;nom
sous-off;sous-officier;nom
sous-prolo;sous-prolétaire;nom
spi;spinnaker;nom
spéléo;spéléologie;nom
spéléo;spéléologique;adj
spéléo;spéléologue;nom
stage;stage-coach;nom
stal;stalinien;adj
staphylo;staphylocoque;nom
stat;statistique;nom
stats;statistiques;nom
stomato;stomatologue;nom
stras;strasbourg;nom propre
strip;strip-tease;nom
strip;striptease;nom
stup;stupéfiant;adj
stups;stupéfiants;adj
stylo;stylographe;nom
st;stère;nom
sténo;sténographe;nom
sténo;sténographie;nom
steph;stéphane;nom propre
stéréo;stéréophonie;nom
stéréo;stéréophonique;adj
stéréo;stéréotype;nom
super;supercarburant;nom
sup;supplémentaire;adj
suppôt;suppositoire;nom
suppo;suppositoire;nom
sup;supérieur;adj
surex;surexposer;verbe
surex;surexposé;adj
surf;surf-casting;nom
survêt;survêtement;nom
sweat;sweat-shirt;nom
sweat;sweatshirt;nom
sympa;sympathique;adj
synchro;synchronisation;nom
synchro;synchroniseur;nom
syntagme;syntagmes;nom
synthé;synthétique;adj
synthé;synthétiseur;nom
syphilo;syphilis;nom
séba;sébastien;nom propre
sécu;sécurité;adj
ségo;ségolène;nom propre
séropo;séropositif;adj
tala;talapoin;nom
tarmac;tarmacadam;nom
taxi;taximètre;nom
tech;technologie;nom
techno;technologique;adj
teddy;teddy-bear;nom
tempo;temporisation;nom
ten;tenuto;adv
tetra;tetragonopterus;nom
tex;textile;nom
thalasso;thalassothérapie;nom
th;thermie;nom
thoraco;thoracoplastie;nom
théo;théodore;nom propre
théo;théophile;nom
tomo;tomographie;nom
top;top-model;adj
topo;topographie;nom
toxico;toxicomane;nom
tract;tractate;nom
tram;tramway;nom
transat;transatlantique;adj
transfo;transformateur;nom
trans;transsexuel;adj
traumato;traumatologie;nom
trav;travelo;nom
trench;trench-coat;nom
trichlo;trichloréthylène;nom
trichlo;trichlorétylène;nom
trigo;trigonométrie;nom
troca;trocadero;nom propre
turbo;turbocompresseur;nom
typo;typographe;nom
typo;typographie;nom
télécoms;télécommunications;nom
télé;télévision;nom
téra;téraoctet;nom
tétra;tétragonoptérinés;nom
uni;université;adj
uro;urolagnie;nom
vague;vaguenaude;nom
valpo;valpolicella;nom
vamp;vampire;nom
vanity;vanity-case;nom
vape;vapeur;nom
vapo;vaporisateur;nom
ventilo;ventilateur;nom
vibro;vibromasseur;nom
vidéo;vidéofréquence;nom
viet;vietnamien;adj
vince;vincent;nom propre
visu;visualisation;nom
visu;visuel;adj
volley;volley-ball;nom
vélo;vélocipède;nom
véloce;vélocipède;nom
vérif;vérifieur;nom
véto;vétérinaire;adj
waters;water-closet;nom
water;water-closet;nom
whisky;whiskyboe;nom
xylo;xylophone;nom
xéro;xérographie;nom
zanzi;zanzibar;nom
zoo;zoologique;adj
écho;échographie;nom
écolo;écologique;adj
écolo;écologiste;nom
éco;économie;nom
édito;éditorial;nom
éjac;éjaculation;nom
électro;électrocardiographe;nom
électro;électronique;adj
électro;électrophone;nom
élem;élémentaire;adj
épilo;épileptique;adj
